DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,LLAVE_MUNICIPIO,VERSION,AREA,LATITUD,LONGITUD,TSP16_HOG,STP27_PERS
52,696,SANTA BÁRBARA,52696,COLOMBIA - 52696,2018,1224575606,2.30215518,-77.87437229,2777,8989
94,1,INÍRIDA,94001,COLOMBIA - 94001,2018,15970198592,3.319404985,-68.45723659,7671,30104
94,343,BARRANCOMINAS,94343,COLOMBIA - 94343,2018,9467772090,3.313507917,-69.39877038,1019,7207
94,663,MAPIRIPANA,94663,COLOMBIA - 94663,2018,4927905457,2.808882223,-70.26932564,134,1011
94,883,SAN FELIPE,94883,COLOMBIA - 94883,2018,2926365121,2.15590864,-67.33988543,274,1411
94,884,PUERTO COLOMBIA,94884,COLOMBIA - 94884,2018,15700712807,2.507579836,-68.20898715,313,1643
94,885,LA GUADALUPE,94885,COLOMBIA - 94885,2018,1178870686,1.404540273,-67.001518,41,222
94,886,CACAHUAL,94886,COLOMBIA - 94886,2018,2335324705,3.38616245,-67.58507998,132,839
94,887,PANA PANA,94887,COLOMBIA - 94887,2018,10227146784,1.981055294,-69.11440036,237,1182
94,888,MORICHAL,94888,COLOMBIA - 94888,2018,8555058239,2.421444806,-69.84001585,132,812
99,624,SANTA ROSALÍA,99624,COLOMBIA - 99624,2018,3898310185,4.978995827,-70.65175559,1074,4026
99,1,PUERTO CARREÑO,99001,COLOMBIA - 99001,2018,12204951401,5.836529669,-68.14122234,5816,19788
99,524,LA PRIMAVERA,99524,COLOMBIA - 99524,2018,18362896652,5.521561316,-69.6104814,2739,9690
99,773,CUMARIBO,99773,COLOMBIA - 99773,2018,65597212354,4.262454746,-69.52140483,9533,43138
85,1,YOPAL,85001,COLOMBIA - 85001,2018,2482938635,5.242744761,-72.25802857,53102,156942
85,10,AGUAZUL,85010,COLOMBIA - 85010,2018,1442507307,5.126121886,-72.54821017,12119,33440
85,15,CHÁMEZA,85015,COLOMBIA - 85015,2018,313532539.1,5.228453404,-72.86496804,734,2009
85,136,LA SALINA,85136,COLOMBIA - 85136,2018,199894277.3,6.178282373,-72.34693377,398,1227
85,139,MANÍ,85139,COLOMBIA - 85139,2018,3754548524,4.675769488,-72.21280273,4499,13291
85,162,MONTERREY,85162,COLOMBIA - 85162,2018,779172474,4.841308642,-72.8473434,5483,14828
85,225,NUNCHÍA,85225,COLOMBIA - 85225,2018,1101813203,5.529181235,-72.09251937,2651,8469
85,230,OROCUÉ,85230,COLOMBIA - 85230,2018,4753484118,4.915139133,-71.59873966,2409,8142
85,263,PORE,85263,COLOMBIA - 85263,2018,780471203.5,5.663194953,-71.92580806,3739,10675
85,279,RECETOR,85279,COLOMBIA - 85279,2018,181226755,5.263068507,-72.77081831,492,1247
85,300,SABANALARGA,85300,COLOMBIA - 85300,2018,400942058.3,4.81119011,-72.99580655,1160,3046
85,315,SÁCAMA,85315,COLOMBIA - 85315,2018,312236927,6.049906435,-72.21076163,612,1675
85,325,SAN LUIS DE PALENQUE,85325,COLOMBIA - 85325,2018,2989695297,5.231836228,-71.5935464,2266,7537
85,400,TÁMARA,85400,COLOMBIA - 85400,2018,1091231261,5.878927424,-72.20067822,2065,6317
85,410,TAURAMENA,85410,COLOMBIA - 85410,2018,2381673392,4.697463691,-72.62922436,6838,21709
85,430,TRINIDAD,85430,COLOMBIA - 85430,2018,2970227695,5.367420272,-71.19416349,3618,11734
85,440,VILLANUEVA,85440,COLOMBIA - 85440,2018,833889431.5,4.528307719,-72.82314281,11757,31727
85,125,HATO COROZAL,85125,COLOMBIA - 85125,2018,5509712459,6.109021422,-71.136455,3263,11431
85,250,PAZ DE ARIPORO,85250,COLOMBIA - 85250,2018,12115042217,5.779915281,-70.86947037,10925,34446
91,1,LETICIA,91001,COLOMBIA - 91001,2018,6182416560,-3.530058784,-70.04513691,11294,42844
91,263,EL ENCANTO,91263,COLOMBIA - 91263,2018,10897546705,-1.997234795,-72.72361566,413,1885
